train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.9058,1.3315,6.9673,2.6416,5.2996,-1.1085,transfer_from_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,1.0917,1.4017,6.6078,2.8694,4.0793,-0.1075,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,17.2563,19.0412,35.2545,30.4691,34.6786,0.1993,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,17.0171,18.537,35.0714,30.0384,32.5645,-0.361,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,15.3122,17.8062,34.9981,30.9983,33.8687,6.4788,transfer_from_25degC
25,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,22.8208,26.1117,45.3227,40.2734,44.628,5.9665,transfer_from_25degC
25,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,22.8032,25.9742,49.6549,39.808,45.2993,5.3798,transfer_from_25degC
25,0,test,Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,21.3893,24.6214,46.8366,37.7522,40.1594,6.265,transfer_from_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,50689.0,0.7863,1.0787,4.4125,2.1942,2.9632,4.4125,transfer_from_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,50689.0,0.4324,0.6308,2.594,1.4635,2.04,2.2859,transfer_from_25degC
